Date,Price
1986-08-25,0.4172488152980804
1986-08-26,0.4222846329212188
1986-08-27,0.4201264679431915
1986-08-28,0.4208458364009857
1986-08-29,0.4251622557640075
1986-09-02,0.408616155385971
1986-09-03,0.40933558344841
1986-09-04,0.4057386219501495
1986-09-05,0.3985446691513061
1986-09-08,0.3920702636241913
1986-09-09,0.3870344460010528
1986-09-10,0.3834376633167267
1986-09-11,0.3712078034877777
1986-09-12,0.3611361682415008
1986-09-15,0.3640137612819671
1986-09-16,0.363294243812561
1986-09-17,0.3611361682415008
1986-09-18,0.356819748878479
1986-09-19,0.346748411655426
1986-09-22,0.3532227575778961
1986-09-23,0.3589780032634735
1986-09-24,0.3690493404865265
1986-09-25,0.3596974313259125
1986-09-26,0.361855536699295
1986-09-29,0.3640137612819671
1986-09-30,0.3683299124240875
1986-10-01,0.3712078034877777
1986-10-02,0.3719271719455719
1986-10-03,0.3704882562160492
1986-10-06,0.3661720156669616
1986-10-07,0.3712078034877777
1986-10-08,0.3791209757328033
1986-10-09,0.3798402845859527
1986-10-10,0.3776823580265045
1986-10-13,0.3776823580265045
1986-10-14,0.3848761320114136
1986-10-15,0.3935087621212005
1986-10-16,0.4021416306495666
1986-10-17,0.4028611481189728
1986-10-20,0.3949477672576904
1986-10-21,0.3956673443317413
1986-10-22,0.3992641270160675
1986-10-23,0.4007030725479126
1986-10-24,0.3949477672576904
1986-10-27,0.3992641270160675
1986-10-28,0.3949477672576904
1986-10-29,0.3971058130264282
1986-10-30,0.3999836146831512
1986-10-31,0.4014222323894501
1986-11-03,0.4007030725479126
1986-11-04,0.4021416306495666
1986-11-05,0.4057386219501495
1986-11-06,0.4050193130970001
1986-11-07,0.3999836146831512
1986-11-10,0.4014222323894501
1986-11-11,0.4028611481189728
1986-11-12,0.4028611481189728
1986-11-13,0.3927896320819855
1986-11-14,0.3978254497051239
1986-11-17,0.4235441088676452
1986-11-18,0.4086693227291107
1986-11-19,0.4157154262065887
1986-11-20,0.4219783842563629
1986-11-21,0.4345049262046814
1986-11-24,0.4399849772453308
1986-11-25,0.4376361966133117
1986-11-26,0.4352875649929046
1986-11-28,0.4290245175361633
1986-12-01,0.4251100718975067
1986-12-02,0.4384193122386932
1986-12-03,0.443116545677185
1986-12-04,0.4352875649929046
1986-12-05,0.4345049262046814
1986-12-08,0.4446821510791778
1986-12-09,0.4415507316589355
1986-12-10,0.4485967457294464
1986-12-11,0.4423336684703827
1986-12-12,0.4313729703426361
1986-12-15,0.4345049262046814
1986-12-16,0.4384193122386932
1986-12-17,0.4337216913700104
1986-12-18,0.4282415509223938
1986-12-19,0.4274587631225586
1986-12-22,0.4196298122406006
1986-12-23,0.414932370185852
1986-12-24,0.4180639684200287
1986-12-26,0.4251100718975067
1986-12-29,0.4157154262065887
1986-12-30,0.4164983034133911
1986-12-31,0.411018043756485
1987-01-02,0.4219783842563629
1987-01-05,0.4376361966133117
1987-01-06,0.4360707700252533
1987-01-07,0.4360707700252533
1987-01-08,0.4313729703426361
1987-01-09,0.4352875649929046
1987-01-12,0.4313729703426361
1987-01-13,0.4290245175361633
1987-01-14,0.4384193122386932
1987-01-15,0.4478137493133545
1987-01-16,0.4556428492069244
1987-01-19,0.4697346687316894
1987-01-20,0.460340291261673
1987-01-21,0.460340291261673
1987-01-22,0.4697346687316894
1987-01-23,0.4697346687316894
1987-01-26,0.4713006317615509
1987-01-27,0.4861757159233093
1987-01-28,0.4861757159233093
1987-01-29,0.4783466160297394
1987-01-30,0.4736494123935699
1987-02-02,0.4767807722091675
1987-02-03,0.4822610914707184
1987-02-04,0.4908729195594787
1987-02-05,0.494004487991333
1987-02-06,0.4924386441707611
1987-02-09,0.4869585931301117
1987-02-10,0.4822610914707184
1987-02-11,0.5010500550270081
1987-02-12,0.5018330812454224
1987-02-13,0.5174906849861145
1987-02-17,0.5401950478553772
1987-02-18,0.5448923707008362
1987-02-19,0.5362808108329773
1987-02-20,0.5292347073554993
1987-02-23,0.5567811131477356
1987-02-24,0.5693588256835938
1987-02-25,0.5693588256835938
1987-02-26,0.5693588256835938
1987-02-27,0.5785827040672302
1987-03-02,0.5760675072669983
1987-03-03,0.586967945098877
1987-03-04,0.6129621863365173
1987-03-05,0.6104466915130615
1987-03-06,0.6054157018661499
1987-03-09,0.5936765670776367
1987-03-10,0.6054157018661499
1987-03-11,0.6070927381515503
1987-03-12,0.6020615100860596
1987-03-13,0.6029002666473389
1987-03-16,0.5961916446685791
1987-03-17,0.6079313158988953
1987-03-18,0.6029002666473389
1987-03-19,0.6037387847900391
1987-03-20,0.6112856268882751
1987-03-23,0.6221860647201538
1987-03-24,0.6221860647201538
1987-03-25,0.6087695956230164
1987-03-26,0.6121237277984619
1987-03-27,0.6020615100860596
1987-03-30,0.5894834995269775
1987-03-31,0.5936765670776367
1987-04-01,0.6029002666473389
1987-04-02,0.5961916446685791
1987-04-03,0.6029002666473389
1987-04-06,0.6112856268882751
1987-04-07,0.6070927381515503
1987-04-08,0.6070927381515503
1987-04-09,0.5995460748672485
1987-04-10,0.6070927381515503
1987-04-13,0.5970303416252136
1987-04-14,0.5735516548156738
1987-04-15,0.5785827040672302
1987-04-16,0.5785827040672302
1987-04-20,0.5752285718917847
1987-04-21,0.5936765670776367
1987-04-22,0.5861296057701111
1987-04-23,0.5903222560882568
1987-04-24,0.5836142897605896
1987-04-27,0.5852908492088318
1987-04-28,0.5894834995269775
1987-04-29,0.5852908492088318
1987-04-30,0.5844525098800659
1987-05-01,0.5777444243431091
1987-05-04,0.5819368362426758
1987-05-05,0.6020615100860596
1987-05-06,0.5936765670776367
1987-05-07,0.586967945098877
1987-05-08,0.5844525098800659
1987-05-11,0.5760675072669983
1987-05-12,0.5794211030006409
1987-05-13,0.5777444243431091
1987-05-14,0.5743902921676636
1987-05-15,0.5576196908950806
1987-05-18,0.5551041960716248
1987-05-19,0.5416879057884216
1987-05-20,0.5534270405769348
1987-05-21,0.5542652606964111
1987-05-22,0.6061760783195496
1987-05-26,0.6180440187454224
1987-05-27,0.6162184476852417
1987-05-28,0.6207827925682068
1987-05-29,0.628086507320404
1987-06-01,0.6235215663909912
1987-06-02,0.6308247447013855
1987-06-03,0.6445184350013733
1987-06-04,0.6445184350013733
1987-06-05,0.6408666372299194
1987-06-08,0.6518217921257019
1987-06-09,0.6509091854095459
1987-06-10,0.6445184350013733
1987-06-11,0.6499961614608765
1987-06-12,0.6673414707183838
1987-06-15,0.6673414707183838
1987-06-16,0.665515661239624
1987-06-17,0.6646024584770203
1987-06-18,0.6810352802276611
1987-06-19,0.6828611493110657
1987-06-22,0.6901645064353943
1987-06-23,0.6901645064353943
1987-06-24,0.6764708757400513
1987-06-25,0.6828611493110657
1987-06-26,0.6764708757400513
1987-06-29,0.6828611493110657
1987-06-30,0.6709930896759033
1987-07-01,0.6646024584770203
1987-07-02,0.6618640422821045
1987-07-06,0.6509091854095459
1987-07-07,0.6627768874168396
1987-07-08,0.6682544350624084
1987-07-09,0.6673414707183838
1987-07-10,0.6792094707489014
1987-07-13,0.6782968640327454
1987-07-14,0.6883386373519897
1987-07-15,0.6837738752365112
1987-07-16,0.692903459072113
1987-07-17,0.6901645064353943
1987-07-20,0.6819483637809753
1987-07-21,0.6837738752365112
1987-07-22,0.6901645064353943
1987-07-23,0.6865130662918091
1987-07-24,0.6837738752365112
1987-07-27,0.6819483637809753
1987-07-28,0.6801222562789917
1987-07-29,0.6956416964530945
1987-07-30,0.7047712206840515
1987-07-31,0.6956416964530945
1987-08-03,0.6883386373519897
1987-08-04,0.6883386373519897
1987-08-05,0.7047712206840515
1987-08-06,0.7139003872871399
1987-08-07,0.7212032079696655
1987-08-10,0.7303328514099121
1987-08-11,0.7485911846160889
1987-08-12,0.738548994064331
1987-08-13,0.738548994064331
1987-08-14,0.7339848279953003
1987-08-17,0.7954933047294617
1987-08-18,0.7945149540901184
1987-08-19,0.7945149540901184
